property_type,place_with_parent_names,lat-lon,area_m2,price_usd
house,|México|Morelos|City|Neighborhood|,"17.303239,-86.98816",281.4,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"17.990823,-101.107675",193.3,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"21.877032,-91.07738",363.4,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"16.640435,-95.583688",106.9,40058.55
house,|México|Guerrero|City|Neighborhood|,"24.624341,-100.628857",398.4,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"25.614997,-90.467863",91.6,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"18.467474,-94.955554",55.2,40058.55
house,|México|Guerrero|City|Neighborhood|,nan,361.5,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"16.221345,-99.541979",135.7,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"22.407102,-96.374521",305.4,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"20.139261,-93.652915",333.9,40058.55
house,|México|Yucatán|City|Neighborhood|,"18.700585,-97.901784",350.6,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"18.068371,-102.032549",397.1,40058.55
house,|México|Tabasco|City|Neighborhood|,"22.540231,-86.76719",152.9,40058.55
house,|México|Nuevo León|City|Neighborhood|,"20.16217,-95.770649",298.6,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"17.796593,-91.321593",90.4,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"22.891091,-97.779056",192.4,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"21.650723,-98.897365",346.8,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"24.586721,-97.856714",178.7,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"17.174759,-97.816067",256.9,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"23.856666,-95.116398",226.3,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"22.735168,-95.130603",276.1,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"17.150109,-96.056924",390.5,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"22.948207,-103.304284",69.5,40058.55
house,|México|Chiapas|City|Neighborhood|,"20.415473,-96.07849",250.9,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"25.449848,-102.617922",352.1,40058.55
house,|México|Tabasco|City|Neighborhood|,"17.416114,-103.477284",218.5,40058.55
house,|México|Querétaro|City|Neighborhood|,"22.428334,-87.347086",77.5,40058.55
apartment,|México|Morelos|City|Neighborhood|,nan,246.2,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,nan,166.2,40058.55
house,|México|Querétaro|City|Neighborhood|,"19.299749,-97.964127",104.2,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"25.621859,-87.820382",347.2,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"25.014859,-93.24139",232.6,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"18.703832,-90.616603",376.6,40058.55
house,|México|Nuevo León|City|Neighborhood|,"24.035418,-98.628751",332.1,40058.55
house,|México|Querétaro|City|Neighborhood|,"25.956042,-86.799762",292.5,40058.55
house,|México|Guerrero|City|Neighborhood|,"18.52663,-89.590774",51.8,40058.55
house,|México|Estado de México|City|Neighborhood|,"20.367772,-88.921031",199.7,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"21.201807,-102.556115",119.1,40058.55
apartment,|México|Morelos|City|Neighborhood|,"18.949311,-100.580736",368.8,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"16.152648,-100.287468",111.1,40058.55
house,|México|Estado de México|City|Neighborhood|,"18.201292,-100.581816",150.1,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"18.819369,-88.891837",230.9,40058.55
house,|México|Tabasco|City|Neighborhood|,"20.435997,-105.362304",142.2,40058.55
house,|México|Querétaro|City|Neighborhood|,"17.711025,-104.478",123.5,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"24.732544,-100.521703",259.7,40058.55
apartment,|México|Morelos|City|Neighborhood|,"23.049111,-102.002541",81.1,40058.55
house,|México|Yucatán|City|Neighborhood|,"16.852005,-101.362808",70.4,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"22.500925,-90.041136",180.3,40058.55
house,|México|Distrito Federal|City|Neighborhood|,nan,302.2,40058.55
house,|México|Tabasco|City|Neighborhood|,"25.562212,-105.884587",244.2,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"16.030209,-97.413545",198.0,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"18.479324,-97.842301",248.0,40058.55
house,|México|Yucatán|City|Neighborhood|,nan,177.9,40058.55
house,|México|Querétaro|City|Neighborhood|,"25.321339,-92.477164",377.7,40058.55
house,|México|Morelos|City|Neighborhood|,nan,69.2,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"23.657633,-91.582136",285.7,40058.55
house,|México|Querétaro|City|Neighborhood|,"16.91483,-91.430581",361.9,40058.55
house,|México|Chiapas|City|Neighborhood|,nan,331.4,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"18.31583,-86.921584",114.4,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"17.81218,-89.715825",153.6,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"24.103033,-87.920366",301.0,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"17.350381,-105.687134",79.5,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"20.686516,-87.322824",334.2,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"25.385782,-89.804229",301.6,40058.55
house,|México|Tabasco|City|Neighborhood|,"17.858321,-89.255617",305.4,40058.55
house,|México|Querétaro|City|Neighborhood|,"25.779934,-104.134252",85.1,40058.55
house,|México|Distrito Federal|City|Neighborhood|,nan,301.2,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"21.556172,-86.801666",287.9,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"17.701427,-92.429053",340.8,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"19.161049,-94.588772",64.6,40058.55
house,|México|Querétaro|City|Neighborhood|,"20.244928,-87.087406",58.1,40058.55
house,|México|Morelos|City|Neighborhood|,"19.093242,-97.141258",180.6,40058.55
house,|México|Querétaro|City|Neighborhood|,nan,102.1,40058.55
house,|México|Tabasco|City|Neighborhood|,"25.722297,-96.473234",245.4,40058.55
house,|México|Tabasco|City|Neighborhood|,"17.533648,-87.343076",371.1,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"23.333279,-104.478305",187.0,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"16.004103,-95.977606",345.7,40058.55
house,|México|Chiapas|City|Neighborhood|,nan,50.1,40058.55
house,|México|Tabasco|City|Neighborhood|,"25.15943,-90.161869",109.0,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"18.879341,-94.339627",60.6,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"17.85526,-87.821645",164.9,40058.55
house,|México|Estado de México|City|Neighborhood|,"22.516798,-87.160171",367.9,40058.55
house,|México|Estado de México|City|Neighborhood|,"23.126014,-104.713616",83.9,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"22.880305,-97.952589",262.2,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"19.193169,-105.53082",208.0,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"18.522024,-99.411667",378.5,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"25.559188,-95.262636",92.9,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,nan,124.2,40058.55
apartment,|México|Morelos|City|Neighborhood|,nan,60.3,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"24.461939,-103.450005",201.9,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"20.523235,-104.139393",147.2,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"20.24389,-94.214653",354.5,40058.55
apartment,|México|Morelos|City|Neighborhood|,"17.567629,-95.357641",261.7,40058.55
house,|México|Tabasco|City|Neighborhood|,"20.264061,-100.672447",264.9,40058.55
house,|México|Querétaro|City|Neighborhood|,"21.374169,-88.010938",236.2,40058.55
apartment,|México|Chiapas|City|Neighborhood|,nan,82.1,40058.55
house,|México|Tabasco|City|Neighborhood|,nan,205.8,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"23.813562,-88.193949",399.8,40058.55
house,|México|Yucatán|City|Neighborhood|,"22.800461,-98.321022",342.3,40058.55
house,|México|Guerrero|City|Neighborhood|,"22.35157,-91.263663",362.7,40058.55
house,|México|Querétaro|City|Neighborhood|,"25.095554,-96.481156",338.1,40058.55
house,|México|Yucatán|City|Neighborhood|,"16.18032,-103.548337",86.1,40058.55
house,|México|Nuevo León|City|Neighborhood|,"21.570476,-87.441316",129.6,40058.55
house,|México|Guerrero|City|Neighborhood|,nan,51.1,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"21.413354,-91.310259",156.2,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"19.238956,-98.656524",88.0,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"17.362506,-105.622382",215.5,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"24.875631,-103.989393",287.0,40058.55
house,|México|Nuevo León|City|Neighborhood|,"20.707624,-96.07561",356.1,40058.55
house,|México|Estado de México|City|Neighborhood|,nan,312.2,40058.55
house,|México|Morelos|City|Neighborhood|,"21.858521,-99.305293",378.5,40058.55
house,|México|Chiapas|City|Neighborhood|,"22.741921,-92.090231",68.9,40058.55
house,|México|Nuevo León|City|Neighborhood|,"24.042612,-92.027288",54.3,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"22.591555,-91.921282",281.5,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"19.980548,-96.149563",151.3,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"21.136334,-87.702277",138.7,40058.55
apartment,|México|Querétaro|City|Neighborhood|,nan,165.8,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"19.736503,-96.994696",144.4,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"19.881215,-102.012384",229.0,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"16.956901,-99.846898",204.1,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"25.145844,-105.15331",229.3,40058.55
house,|México|Yucatán|City|Neighborhood|,"16.910363,-93.329294",285.4,40058.55
house,|México|Guerrero|City|Neighborhood|,"22.482092,-101.029285",185.5,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"20.131945,-99.916895",138.0,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"20.056194,-90.58371",108.2,40058.55
house,|México|Yucatán|City|Neighborhood|,"22.795518,-99.455576",172.3,40058.55
apartment,|México|Morelos|City|Neighborhood|,"16.670937,-101.156082",309.6,40058.55
house,|México|Tabasco|City|Neighborhood|,"21.937058,-102.618845",314.8,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"23.720318,-90.502832",283.4,40058.55
house,|México|Morelos|City|Neighborhood|,"24.282128,-103.405875",131.9,40058.55
house,|México|Yucatán|City|Neighborhood|,"17.705304,-96.924925",255.8,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"24.974191,-95.861398",249.7,40058.55
house,|México|Tabasco|City|Neighborhood|,"22.561461,-92.252202",219.5,40058.55
house,|México|Tabasco|City|Neighborhood|,"24.818548,-93.33433",242.5,40058.55
apartment,|México|Morelos|City|Neighborhood|,"20.852807,-89.785587",222.1,40058.55
house,|México|Distrito Federal|City|Neighborhood|,nan,247.9,40058.55
house,|México|Guerrero|City|Neighborhood|,"25.190383,-100.071186",300.4,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"24.999095,-100.397318",88.4,40058.55
house,|México|Chiapas|City|Neighborhood|,"20.481609,-103.079662",312.4,40058.55
apartment,|México|Morelos|City|Neighborhood|,"18.744126,-100.216435",97.6,40058.55
apartment,|México|Yucatán|City|Neighborhood|,nan,73.3,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"19.877643,-95.562311",391.6,40058.55
house,|México|Nuevo León|City|Neighborhood|,nan,384.9,40058.55
house,|México|Estado de México|City|Neighborhood|,nan,71.2,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"24.610629,-91.610595",205.1,40058.55
house,|México|Chiapas|City|Neighborhood|,"16.698619,-99.276693",115.2,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"22.776112,-100.194326",219.9,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"17.728201,-95.176239",340.6,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"19.445059,-105.525673",382.7,40058.55
house,|México|Morelos|City|Neighborhood|,"16.61543,-104.404218",272.0,40058.55
house,|México|Tabasco|City|Neighborhood|,"18.699736,-97.640609",173.9,40058.55
house,|México|Yucatán|City|Neighborhood|,"23.684211,-87.141746",261.2,40058.55
house,|México|Nuevo León|City|Neighborhood|,"24.850153,-91.569764",159.2,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,nan,368.4,40058.55
house,|México|Tabasco|City|Neighborhood|,"20.635478,-89.07364",354.6,40058.55
house,|México|Estado de México|City|Neighborhood|,"20.70324,-91.353985",245.4,40058.55
house,|México|Tabasco|City|Neighborhood|,"24.735753,-93.781069",163.7,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"23.627991,-89.594141",152.7,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"21.130772,-97.917803",61.7,40058.55
house,|México|Chiapas|City|Neighborhood|,"22.707472,-101.569979",335.5,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"24.473551,-95.759532",207.6,40058.55
apartment,|México|Morelos|City|Neighborhood|,"16.09539,-95.023165",163.8,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"20.0289,-95.233473",214.9,40058.55
apartment,|México|Morelos|City|Neighborhood|,"25.072432,-94.698524",336.6,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"23.40313,-87.025902",93.6,40058.55
house,|México|Querétaro|City|Neighborhood|,nan,350.2,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"21.296445,-88.485659",364.1,40058.55
house,|México|Yucatán|City|Neighborhood|,"19.477701,-89.971664",381.3,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"21.205205,-87.131438",189.1,40058.55
apartment,|México|Guerrero|City|Neighborhood|,nan,126.0,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"20.18363,-100.697535",180.8,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"23.141531,-96.098881",166.5,40058.55
house,|México|Nuevo León|City|Neighborhood|,"24.612322,-89.06931",111.7,40058.55
house,|México|Tabasco|City|Neighborhood|,"17.546848,-95.896686",262.5,40058.55
house,|México|Nuevo León|City|Neighborhood|,"20.51547,-91.039305",216.8,40058.55
house,|México|Tabasco|City|Neighborhood|,nan,353.0,40058.55
house,|México|Estado de México|City|Neighborhood|,"22.874648,-100.951724",61.2,40058.55
house,|México|Chiapas|City|Neighborhood|,"18.498675,-91.364478",275.4,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"22.402509,-102.70532",317.0,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"24.774892,-98.972881",315.8,40058.55
apartment,|México|Estado de México|City|Neighborhood|,nan,360.1,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"25.110157,-99.002766",305.2,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"25.931637,-91.833519",374.7,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"17.06092,-98.643056",166.4,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"18.330532,-94.894734",226.1,40058.55
house,|México|Querétaro|City|Neighborhood|,"25.503798,-104.001362",54.9,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"25.583277,-89.899646",52.4,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"16.977073,-98.602227",134.0,40058.55
apartment,|México|Morelos|City|Neighborhood|,"16.149985,-93.029317",85.3,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"17.611,-91.492208",141.1,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"25.960128,-101.806782",112.0,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"17.799996,-88.3065",60.0,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"21.025476,-93.675515",368.3,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"24.484177,-97.425497",52.9,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,nan,307.6,40058.55
house,|México|Nuevo León|City|Neighborhood|,"22.04489,-87.153981",103.3,40058.55
house,|México|Estado de México|City|Neighborhood|,nan,369.3,40058.55
house,|México|Nuevo León|City|Neighborhood|,nan,362.5,40058.55
house,|México|Querétaro|City|Neighborhood|,"18.834611,-99.245785",278.9,40058.55
house,|México|Morelos|City|Neighborhood|,"22.867557,-89.806515",285.3,40058.55
apartment,|México|Morelos|City|Neighborhood|,"22.742196,-92.086447",51.9,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"18.214935,-90.684314",394.7,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"16.347992,-97.175978",357.2,40058.55
house,|México|Chiapas|City|Neighborhood|,"20.092496,-91.670475",363.3,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"18.891932,-98.270126",280.7,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"24.089777,-101.774742",170.7,40058.55
house,|México|Yucatán|City|Neighborhood|,"24.003642,-93.346459",362.8,40058.55
house,|México|Estado de México|City|Neighborhood|,"20.57024,-86.479721",152.0,40058.55
apartment,|México|Morelos|City|Neighborhood|,"22.065122,-99.787981",246.9,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"22.042595,-96.780608",84.9,40058.55
house,|México|Nuevo León|City|Neighborhood|,"24.271581,-92.519973",372.7,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"20.250024,-95.169874",99.3,40058.55
apartment,|México|Chiapas|City|Neighborhood|,nan,128.7,40058.55
house,|México|Nuevo León|City|Neighborhood|,"18.650349,-90.765146",245.3,40058.55
house,|México|Tabasco|City|Neighborhood|,"21.361923,-104.834056",317.4,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"20.491482,-86.031575",266.8,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"20.401208,-90.951951",131.2,40058.55
house,|México|Chiapas|City|Neighborhood|,"16.911373,-88.721934",50.3,40058.55
house,|México|Chiapas|City|Neighborhood|,nan,315.0,40058.55
apartment,|México|Morelos|City|Neighborhood|,"18.137367,-88.874297",394.8,40058.55
house,|México|Distrito Federal|City|Neighborhood|,nan,333.5,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"20.127583,-99.045243",211.1,40058.55
house,|México|Guerrero|City|Neighborhood|,"18.277783,-88.471581",366.3,40058.55
apartment,|México|Morelos|City|Neighborhood|,"21.838583,-101.966896",193.4,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,nan,233.7,40058.55
apartment,|México|Morelos|City|Neighborhood|,"20.489117,-90.237621",217.0,40058.55
house,|México|Morelos|City|Neighborhood|,"21.371693,-89.290277",206.7,40058.55
house,|México|Morelos|City|Neighborhood|,nan,321.3,40058.55
house,|México|Estado de México|City|Neighborhood|,"17.557516,-88.91308",234.4,40058.55
house,|México|Morelos|City|Neighborhood|,"24.804219,-92.264644",160.9,40058.55
apartment,|México|Morelos|City|Neighborhood|,nan,140.4,40058.55
apartment,|México|Morelos|City|Neighborhood|,"20.120936,-89.394996",63.2,40058.55
house,|México|Morelos|City|Neighborhood|,"16.356122,-97.615015",254.1,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"20.979763,-102.120121",130.5,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"21.541697,-100.302946",101.8,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"21.588409,-95.89672",278.8,40058.55
house,|México|Nuevo León|City|Neighborhood|,"23.070312,-95.373384",288.4,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"17.774818,-89.888383",313.3,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"18.522231,-90.172946",226.3,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,nan,362.9,40058.55
house,|México|Distrito Federal|City|Neighborhood|,nan,377.7,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"17.359327,-102.164531",332.6,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"20.976496,-104.998709",272.5,40058.55
house,|México|Yucatán|City|Neighborhood|,nan,156.3,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"16.600732,-104.48891",394.0,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"19.255033,-101.066231",145.9,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,nan,120.9,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"23.099331,-97.811041",204.8,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"21.337254,-88.473721",69.9,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"17.438345,-100.040404",392.5,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"16.092416,-105.762573",256.0,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"24.08157,-99.986887",244.9,40058.55
house,|México|Guerrero|City|Neighborhood|,"17.761944,-94.438499",279.5,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"22.062166,-98.481232",224.0,40058.55
house,|México|Estado de México|City|Neighborhood|,"19.369219,-95.302545",61.2,40058.55
house,|México|Querétaro|City|Neighborhood|,"21.854859,-88.468038",264.3,40058.55
apartment,|México|Morelos|City|Neighborhood|,"19.156536,-87.750299",300.7,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"16.869396,-100.680519",195.9,40058.55
house,|México|Guerrero|City|Neighborhood|,"18.2295,-96.757191",315.1,40058.55
house,|México|Yucatán|City|Neighborhood|,nan,129.5,40058.55
house,|México|Tabasco|City|Neighborhood|,"20.280194,-87.017751",127.4,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"22.582838,-86.027654",106.5,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"18.638061,-101.291855",180.2,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"16.120699,-91.460403",346.5,40058.55
apartment,|México|Yucatán|City|Neighborhood|,"21.189374,-98.439379",339.8,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"22.057595,-105.837836",184.0,40058.55
house,|México|Chiapas|City|Neighborhood|,"25.628705,-105.81495",256.2,40058.55
house,|México|Querétaro|City|Neighborhood|,"21.894708,-96.78868",302.3,40058.55
apartment,|México|Guerrero|City|Neighborhood|,nan,134.4,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"21.734016,-105.548606",108.8,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"25.279006,-92.261452",390.2,40058.55
apartment,|México|Tabasco|City|Neighborhood|,"24.283781,-100.119932",266.1,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"19.229787,-94.802138",393.5,40058.55
house,|México|Chiapas|City|Neighborhood|,nan,168.2,40058.55
house,|México|Yucatán|City|Neighborhood|,"18.626336,-102.657314",296.1,40058.55
house,|México|Yucatán|City|Neighborhood|,"21.04421,-97.856525",127.9,40058.55
house,|México|Morelos|City|Neighborhood|,"23.440495,-101.354533",141.4,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"21.032192,-95.30398",229.2,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"16.677964,-102.023429",161.9,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"23.235807,-95.83188",108.7,40058.55
apartment,|México|Chiapas|City|Neighborhood|,nan,142.0,40058.55
house,|México|Chiapas|City|Neighborhood|,"18.894979,-92.580506",62.5,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"22.641257,-90.921246",296.5,40058.55
house,|México|Estado de México|City|Neighborhood|,"20.265919,-103.792115",222.2,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"24.891194,-96.643952",83.0,40058.55
house,|México|Tabasco|City|Neighborhood|,"24.452256,-104.582566",110.1,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"21.25432,-94.036351",85.9,40058.55
house,|México|Morelos|City|Neighborhood|,"22.915055,-100.711914",264.4,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"24.833497,-95.447511",83.0,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,nan,314.0,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"19.132507,-87.512913",57.2,40058.55
house,|México|Chiapas|City|Neighborhood|,nan,137.3,40058.55
apartment,|México|Chiapas|City|Neighborhood|,"18.200663,-94.34003",361.7,40058.55
house,|México|Guerrero|City|Neighborhood|,"19.885311,-97.966937",301.5,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"24.657272,-87.018408",75.5,40058.55
