property_type,state,lat,lon,area_m2,price_usd
apartment,Nuevo León,23.439463,-89.171049,253.6,65383.24
apartment,Estado de México,21.698897,-86.417901,253.0,73806.75
apartment,Nuevo León,24.767656,-103.474705,315.6,238196.41
house,Yucatán,17.106317,-92.273456,362.9,148171.82
apartment,Tabasco,24.464523,-104.607177,381.3,140931.83
apartment,Querétaro,19.972873,-88.885255,196.8,94133.15
house,Yucatán,23.972954,-101.456409,323.1,149933.65
house,Morelos,17.499174,-89.259177,216.7,106930.54
apartment,Tabasco,18.292514,-100.414478,224.1,232104.86
house,Chiapas,23.222526,-93.142362,121.6,151210.55
apartment,Distrito Federal,23.200365,-92.116989,256.9,174183.01
apartment,Veracruz de Ignacio de la Llave,22.411476,-95.746905,115.1,113556.33
house,Yucatán,21.427244,-101.747112,349.3,156634.21
apartment,Morelos,18.517991,-105.336213,122.5,255480.62
house,Estado de México,19.45696,-99.921072,74.9,129317.06
house,Tabasco,17.815977,-92.936744,74.2,285725.15
apartment,Guerrero,25.084506,-87.233904,379.3,295798.74
apartment,Estado de México,21.833918,-88.57591,227.4,154653.59
apartment,Veracruz de Ignacio de la Llave,20.008514,-90.678704,193.3,106078.37
house,Nuevo León,25.472833,-92.700302,342.5,172414.14
house,Yucatán,17.533514,-100.794263,166.3,290892.4
apartment,Distrito Federal,21.862298,-87.856099,292.8,250560.63
house,Morelos,21.058887,-92.585354,319.9,246339.99
house,Guerrero,22.114542,-94.791187,279.1,67367.6
house,Estado de México,16.181102,-103.780211,103.1,97500.87
house,Tabasco,24.721239,-97.058889,356.6,203118.34
house,Yucatán,25.321183,-96.792835,238.7,266011.58
apartment,Tabasco,21.651332,-88.708728,148.9,179726.0
house,Querétaro,22.966508,-95.067036,198.8,57699.23
apartment,Morelos,23.072386,-86.463993,94.8,259814.83
apartment,Nuevo León,17.52539,-103.785588,317.9,106967.01
apartment,Veracruz de Ignacio de la Llave,21.762884,-97.549031,50.0,236041.54
house,Nuevo León,22.06715,-105.159506,195.8,103653.65
apartment,Veracruz de Ignacio de la Llave,23.364442,-87.638469,69.1,69784.14
apartment,Estado de México,25.34367,-100.399253,390.6,148117.59
house,Tabasco,25.255685,-88.833166,129.1,285531.58
apartment,Estado de México,20.508394,-100.155635,156.5,89950.26
apartment,Querétaro,17.13238,-87.784597,156.4,151804.56
house,Veracruz de Ignacio de la Llave,25.848412,-90.920762,130.6,124387.97
apartment,Veracruz de Ignacio de la Llave,24.388981,-89.901864,50.5,37200.95
apartment,Veracruz de Ignacio de la Llave,25.208419,-86.743793,388.4,165541.92
house,Tabasco,24.698964,-91.46658,128.5,93660.08
apartment,Querétaro,21.912754,-89.412107,309.7,131226.42
house,Guerrero,24.028534,-91.92628,163.9,205489.38
apartment,Estado de México,19.334992,-104.069311,335.9,67151.89
apartment,Querétaro,19.981687,-101.162123,113.6,107457.44
house,Chiapas,21.373956,-105.751919,179.8,254035.63
house,Tabasco,25.198556,-96.624641,365.7,217939.44
apartment,Estado de México,19.46346,-99.974695,332.3,67474.03
house,Estado de México,23.375012,-100.055244,314.0,151122.4
house,Estado de México,20.522179,-100.001618,187.6,31417.82
house,Distrito Federal,18.246048,-91.136136,256.7,51390.96
house,Distrito Federal,20.524395,-105.037143,281.4,99099.46
house,Veracruz de Ignacio de la Llave,17.40857,-87.9421,77.5,255440.04
apartment,Guerrero,17.76387,-88.954723,240.6,178177.15
house,Tabasco,20.189254,-94.135569,108.6,172498.31
house,Veracruz de Ignacio de la Llave,25.148459,-88.15395,323.2,60020.45
apartment,Chiapas,19.623939,-102.293396,254.3,107787.43
house,Chiapas,21.805884,-104.420617,383.3,111310.82
house,Querétaro,22.635374,-105.306595,260.5,244352.76
house,Veracruz de Ignacio de la Llave,17.78036,-94.343863,153.8,153420.68
apartment,Chiapas,25.610703,-86.09125,300.0,59931.63
apartment,Morelos,20.146241,-95.571086,85.9,191119.54
apartment,Distrito Federal,16.853497,-104.727182,229.8,34437.55
apartment,Querétaro,25.968743,-89.37253,228.1,169151.45
house,Morelos,21.02195,-94.02043,179.2,95323.3
house,Querétaro,21.95385,-103.70134,376.5,68765.75
house,Chiapas,23.499605,-87.807464,294.0,195998.59
apartment,Veracruz de Ignacio de la Llave,18.099056,-92.615995,300.0,94952.34
house,Guerrero,17.906877,-94.564553,293.1,53115.77
house,Veracruz de Ignacio de la Llave,16.365497,-95.651073,305.1,293156.71
house,Yucatán,20.720669,-97.391452,351.6,48273.42
house,Distrito Federal,23.755276,-90.522407,118.3,296849.5
house,Chiapas,20.532888,-93.961531,170.9,179621.03
apartment,Nuevo León,21.243903,-88.149534,167.5,135422.51
house,Veracruz de Ignacio de la Llave,20.407627,-97.1324,392.5,156936.47
house,Nuevo León,20.007631,-93.858208,349.8,201631.11
apartment,Veracruz de Ignacio de la Llave,17.552402,-94.166057,304.5,98485.57
house,Yucatán,17.819281,-91.947325,246.7,34385.4
house,Guerrero,24.617856,-101.251331,381.5,242900.4
apartment,Querétaro,25.461155,-95.752724,223.7,123096.67
house,Guerrero,19.733093,-103.915504,183.2,227894.08
apartment,Nuevo León,18.707447,-98.309773,107.1,199629.38
apartment,Veracruz de Ignacio de la Llave,22.439995,-96.246659,325.2,238305.37
house,Chiapas,16.253864,-86.989379,184.5,119780.02
house,Distrito Federal,17.561526,-93.986979,58.8,41970.64
apartment,Querétaro,23.159722,-91.128122,343.6,177423.71
apartment,Nuevo León,22.589239,-95.874679,54.0,249647.39
apartment,Tabasco,18.219722,-104.581356,389.6,240368.5
apartment,Querétaro,18.310748,-100.912168,203.2,155448.18
house,Chiapas,22.718927,-98.762938,132.2,217755.1
apartment,Distrito Federal,17.785447,-100.463714,388.5,239571.41
house,Nuevo León,22.527461,-86.569346,68.1,153573.49
house,Morelos,18.381828,-99.37306,226.7,109229.49
house,Estado de México,16.994414,-96.359179,301.5,41827.69
house,Morelos,18.431722,-102.078046,351.9,83856.86
apartment,Nuevo León,23.222669,-93.784399,112.7,41314.6
house,Nuevo León,19.971835,-95.668547,188.8,297063.13
apartment,Veracruz de Ignacio de la Llave,22.680851,-105.889884,96.1,176618.29
apartment,Guerrero,18.049843,-105.846719,352.9,98394.72
house,Estado de México,18.931477,-101.618624,105.0,233388.55
house,Yucatán,18.078863,-89.948286,285.4,263765.53
house,Estado de México,16.265322,-94.559027,328.8,119619.67
house,Chiapas,17.814354,-95.746645,137.7,63608.25
house,Querétaro,20.214246,-87.364926,250.1,270161.36
apartment,Guerrero,24.926717,-98.059699,341.5,230693.08
apartment,Morelos,24.174436,-104.258145,367.1,271552.12
apartment,Tabasco,19.418174,-93.65867,54.3,134394.09
house,Querétaro,18.594234,-103.723232,285.9,292905.37
apartment,Distrito Federal,19.796924,-99.095537,68.1,163974.87
house,Guerrero,18.680636,-88.51555,150.7,279563.83
apartment,Guerrero,22.241489,-96.129068,157.4,170204.48
house,Nuevo León,20.094117,-91.954825,173.5,246309.98
apartment,Distrito Federal,21.520472,-86.143663,267.5,226311.96
apartment,Querétaro,20.361265,-103.370218,166.9,51310.29
apartment,Morelos,25.484533,-98.108478,191.6,252032.15
apartment,Veracruz de Ignacio de la Llave,23.636058,-97.563436,73.9,177278.09
house,Guerrero,24.68468,-87.84778,150.0,51618.61
house,Morelos,20.874312,-91.719347,201.5,208448.19
apartment,Veracruz de Ignacio de la Llave,24.945522,-93.841896,289.9,112753.88
house,Veracruz de Ignacio de la Llave,20.252135,-89.524192,69.8,145051.34
house,Estado de México,16.224693,-86.89879,180.9,216236.5
house,Veracruz de Ignacio de la Llave,21.416342,-105.968698,274.6,41435.89
apartment,Tabasco,18.578877,-104.977292,271.3,125191.01
house,Guerrero,17.393561,-100.847856,119.6,299500.66
house,Nuevo León,24.349302,-104.809506,196.4,104129.95
house,Veracruz de Ignacio de la Llave,25.844022,-93.924091,312.8,294607.37
house,Chiapas,21.256902,-92.268202,85.5,285934.18
house,Estado de México,18.723073,-98.323222,146.7,202128.39
house,Querétaro,16.183907,-96.87527,201.2,128094.01
apartment,Estado de México,25.142988,-98.61894,393.1,246295.91
apartment,Nuevo León,24.297418,-98.904574,191.3,39395.72
apartment,Morelos,18.064213,-87.165486,308.3,48153.01
apartment,Distrito Federal,17.368856,-92.426601,198.0,128908.69
house,Estado de México,22.005169,-93.278079,121.9,213346.76
apartment,Yucatán,22.650367,-87.734261,219.1,286182.35
apartment,Estado de México,25.144119,-88.526028,150.6,236032.81
house,Yucatán,20.187705,-91.520539,279.9,184958.88
house,Distrito Federal,16.46966,-104.671123,76.9,205381.4
house,Veracruz de Ignacio de la Llave,17.662834,-95.320651,76.5,97395.15
house,Estado de México,23.380336,-103.157258,383.0,60631.13
apartment,Morelos,16.827987,-105.765868,154.1,228632.21
house,Morelos,19.892956,-96.27999,268.3,181651.63
apartment,Estado de México,23.190459,-103.539934,55.3,150493.74
apartment,Nuevo León,21.664046,-99.136653,137.8,107105.76
apartment,Yucatán,20.760504,-91.41653,286.6,277449.31
house,Estado de México,22.636712,-92.954167,297.3,162624.05
apartment,Chiapas,16.311831,-92.540668,259.2,272643.34
house,Guerrero,18.62264,-100.492377,353.1,150180.02
house,Nuevo León,21.950779,-99.87373,381.4,53703.5
house,Estado de México,16.514258,-90.220297,87.1,214120.9
apartment,Chiapas,20.963662,-97.07161,104.2,258290.73
apartment,Querétaro,21.968428,-90.032393,380.7,116288.7
house,Guerrero,17.065983,-87.667295,120.9,176386.27
apartment,Tabasco,16.751378,-97.380296,255.7,270659.55
apartment,Chiapas,23.281888,-99.622664,295.4,259867.75
house,Estado de México,20.348273,-93.978517,55.4,202179.01
apartment,Guerrero,18.46402,-91.888283,254.0,244298.02
apartment,Estado de México,24.191023,-92.2319,138.6,167364.05
house,Veracruz de Ignacio de la Llave,23.994159,-98.508942,207.6,62767.86
house,Estado de México,22.946965,-102.662796,385.2,84264.7
apartment,Chiapas,18.721451,-97.389413,189.7,67496.76
house,Nuevo León,21.902307,-103.148117,343.9,243400.73
apartment,Veracruz de Ignacio de la Llave,19.609739,-88.198059,116.0,37096.69
house,Nuevo León,16.915821,-99.082451,285.4,179585.79
apartment,Guerrero,25.173136,-102.910805,392.0,129606.01
apartment,Morelos,17.368186,-105.491045,85.7,246988.67
house,Tabasco,20.460058,-93.261954,201.8,195226.06
house,Nuevo León,21.419009,-104.565762,311.9,113508.49
house,Querétaro,24.729458,-97.807422,370.1,299890.66
apartment,Yucatán,23.322249,-99.77565,201.9,224094.81
house,Estado de México,24.065611,-92.457587,140.5,171937.83
house,Nuevo León,22.922766,-98.708125,303.2,252301.64
house,Veracruz de Ignacio de la Llave,24.491957,-101.642149,53.2,49912.69
apartment,Chiapas,18.49668,-86.239281,256.3,292542.53
apartment,Estado de México,20.89425,-96.919968,264.7,203431.42
house,Distrito Federal,18.212094,-92.234515,273.2,151493.11
apartment,Querétaro,25.87668,-103.188941,134.7,213629.43
house,Chiapas,25.440593,-96.288206,299.9,123018.99
apartment,Yucatán,17.805753,-98.315866,308.6,79130.05
house,Distrito Federal,21.679452,-105.22008,54.8,290891.45
house,Chiapas,16.33946,-98.240265,125.0,275892.31
house,Distrito Federal,22.974203,-102.799501,144.8,44961.47
apartment,Morelos,18.97349,-105.532958,136.6,63523.5
house,Nuevo León,25.243962,-90.875728,71.9,71314.18
house,Veracruz de Ignacio de la Llave,25.710582,-96.82954,210.6,74457.41
apartment,Querétaro,20.742142,-87.998336,262.4,221519.68
house,Nuevo León,24.620427,-103.677221,285.5,123426.23
house,Yucatán,19.191005,-99.720666,383.0,271630.0
house,Yucatán,24.289155,-88.231927,343.5,258402.1
apartment,Estado de México,16.370076,-93.941142,331.8,97663.43
house,Veracruz de Ignacio de la Llave,21.962699,-89.465853,338.0,201465.41
apartment,Nuevo León,18.300088,-86.319737,376.4,178727.18
house,Nuevo León,17.205669,-100.231891,240.5,63795.98
house,Morelos,16.769532,-86.77729,120.1,111762.64
apartment,Querétaro,23.247668,-99.192258,308.3,75531.69
house,Veracruz de Ignacio de la Llave,16.653563,-95.171848,232.5,284233.89
house,Chiapas,19.152903,-102.917099,74.0,71632.45
house,Tabasco,21.394913,-94.92577,179.9,207857.88
house,Querétaro,23.907232,-95.165904,372.3,224570.85
apartment,Distrito Federal,19.187525,-90.761964,254.6,193387.51
apartment,Guerrero,22.258914,-89.327001,238.4,257483.1
apartment,Querétaro,24.859777,-97.191173,144.1,182176.87
house,Nuevo León,22.158632,-99.953335,179.0,252813.79
apartment,Veracruz de Ignacio de la Llave,18.329595,-100.813302,363.4,37660.84
apartment,Distrito Federal,16.244008,-102.107523,283.3,42274.69
apartment,Querétaro,24.700989,-104.847048,325.6,203192.51
apartment,Estado de México,16.212694,-99.15104,209.0,185728.23
house,Yucatán,24.747017,-100.595046,270.6,205805.09
apartment,Morelos,25.390677,-94.845823,296.9,142478.43
house,Veracruz de Ignacio de la Llave,23.987832,-99.054459,199.7,202527.62
house,Morelos,19.507118,-103.216066,277.3,199334.28
apartment,Nuevo León,20.019309,-93.475314,72.4,288295.55
apartment,Tabasco,22.275055,-97.964424,152.3,247265.8
apartment,Chiapas,24.736771,-86.123032,205.4,214947.53
apartment,Querétaro,23.682734,-93.531881,155.4,49702.72
house,Estado de México,20.177668,-94.612453,225.9,46176.52
house,Nuevo León,23.375823,-101.973758,221.9,160747.81
house,Morelos,19.546222,-96.489079,317.6,114397.27
apartment,Distrito Federal,18.87239,-95.139508,193.4,223957.98
apartment,Yucatán,18.963081,-101.445005,279.3,228233.93
house,Yucatán,18.336078,-86.719423,141.1,262409.89
house,Guerrero,25.877224,-95.332267,74.7,130045.85
apartment,Distrito Federal,20.277731,-88.600617,115.0,181645.83
apartment,Nuevo León,22.796473,-90.189804,358.6,155947.59
apartment,Tabasco,18.182539,-103.503584,334.9,102217.35
apartment,Distrito Federal,23.86345,-100.484649,88.7,56139.15
house,Morelos,20.175808,-87.119158,158.4,133720.46
apartment,Guerrero,25.44732,-96.746488,230.3,97032.98
apartment,Yucatán,22.134114,-96.331851,174.9,73118.91
apartment,Estado de México,17.670339,-88.72905,173.8,118407.67
house,Guerrero,25.911686,-94.22537,340.0,185975.5
apartment,Guerrero,18.316717,-98.493402,326.3,114433.03
house,Estado de México,22.496466,-101.935538,369.8,164531.7
apartment,Guerrero,22.077368,-90.764036,383.5,168975.71
apartment,Nuevo León,21.126885,-98.26919,164.4,164665.12
apartment,Yucatán,18.306698,-95.774491,174.0,113305.93
house,Chiapas,17.864383,-88.688457,356.7,166470.01
apartment,Morelos,23.795845,-86.385213,85.9,291005.39
house,Distrito Federal,19.501253,-97.848316,187.5,88088.99
apartment,Guerrero,24.837859,-94.529421,117.9,163621.43
house,Estado de México,25.277523,-86.879057,350.6,268231.66
house,Yucatán,25.949078,-101.99051,286.9,206650.21
house,Querétaro,19.96242,-88.920761,350.6,174906.5
house,Tabasco,23.582385,-97.217004,311.9,258736.54
house,Nuevo León,17.538959,-88.138196,263.7,268263.05
house,Veracruz de Ignacio de la Llave,24.158331,-104.750848,106.1,226427.18
house,Tabasco,21.369744,-95.79135,292.9,138157.04
apartment,Distrito Federal,21.929399,-93.46815,130.4,183976.04
house,Veracruz de Ignacio de la Llave,16.914868,-105.617678,107.8,179370.19
apartment,Tabasco,24.774609,-96.463131,50.7,49853.57
apartment,Morelos,18.656,-92.245559,301.6,166148.99
apartment,Distrito Federal,17.295149,-91.545861,306.3,236389.11
house,Yucatán,24.887481,-92.149351,230.2,105524.58
house,Tabasco,25.556515,-103.311297,106.5,297054.49
house,Estado de México,24.621276,-100.012088,79.2,213707.63
house,Veracruz de Ignacio de la Llave,24.095161,-98.825689,56.7,62078.98
apartment,Yucatán,22.55242,-89.911256,108.0,293272.36
house,Yucatán,21.508574,-100.424803,361.8,136354.0
house,Veracruz de Ignacio de la Llave,16.869868,-101.785901,134.5,244622.25
house,Querétaro,19.726885,-105.822734,86.9,283516.11
house,Nuevo León,18.597538,-86.043583,127.8,233840.6
apartment,Veracruz de Ignacio de la Llave,20.958757,-89.430614,262.7,167463.08
house,Nuevo León,16.810462,-100.107612,135.9,165021.03
apartment,Nuevo León,18.201832,-105.713694,70.2,42231.91
apartment,Chiapas,22.832588,-91.24261,186.9,66999.82
apartment,Distrito Federal,16.761309,-89.317108,132.0,119920.99
apartment,Guerrero,24.512069,-91.190477,126.8,157910.92
apartment,Nuevo León,20.951465,-103.142994,386.0,153386.91
apartment,Estado de México,21.924078,-90.621544,244.9,169186.55
apartment,Distrito Federal,24.24681,-92.82919,195.5,118550.78
house,Tabasco,22.780162,-89.081571,239.3,73875.55
apartment,Chiapas,21.65732,-93.727918,293.8,297466.25
apartment,Estado de México,22.584518,-97.849139,194.2,253638.13
apartment,Tabasco,24.672942,-104.679803,271.0,221359.75
house,Distrito Federal,23.08363,-99.023589,236.4,110943.45
apartment,Querétaro,24.370133,-103.780038,90.4,250252.18
house,Morelos,23.527166,-86.897696,100.0,187599.58
house,Querétaro,17.586051,-95.548468,292.2,245123.8
house,Veracruz de Ignacio de la Llave,24.808708,-100.008686,122.2,225837.54
house,Querétaro,16.292473,-95.987515,363.5,37194.73
house,Chiapas,24.258168,-90.109689,121.5,158139.36
house,Veracruz de Ignacio de la Llave,17.288699,-91.85827,227.7,291109.09
apartment,Querétaro,19.351189,-104.99548,196.7,241384.08
apartment,Querétaro,23.435083,-104.541963,56.3,239563.75
apartment,Querétaro,24.321342,-101.352314,216.0,187551.28
house,Estado de México,16.063859,-89.930345,269.9,199836.82
apartment,Guerrero,22.169269,-97.897946,138.6,257115.12
apartment,Nuevo León,22.318135,-99.570086,303.2,213796.26
house,Nuevo León,22.340057,-101.47942,342.6,286015.4
apartment,Querétaro,23.798454,-86.420378,345.2,35113.09
apartment,Nuevo León,17.069806,-93.930138,219.8,114696.97
house,Guerrero,21.412666,-93.043651,327.0,216435.07
apartment,Tabasco,25.62992,-103.541586,208.0,140801.9
apartment,Distrito Federal,22.326219,-95.938321,349.2,278540.66
apartment,Tabasco,25.320281,-97.013005,358.9,265660.78
apartment,Tabasco,17.025097,-94.282704,213.2,228676.06
apartment,Nuevo León,22.878857,-104.564484,185.7,67282.27
apartment,Querétaro,16.678371,-92.347656,331.2,85982.26
apartment,Yucatán,16.673506,-89.549304,73.4,171878.83
house,Estado de México,21.821705,-89.92083,357.1,114713.2
house,Distrito Federal,19.458831,-94.949981,186.3,76759.25
apartment,Estado de México,22.209155,-95.596602,239.6,276273.52
house,Chiapas,16.45742,-103.142481,388.8,122428.29
house,Nuevo León,24.715368,-90.493077,73.3,125657.49
apartment,Distrito Federal,25.73489,-100.571812,276.9,238437.24
house,Tabasco,25.688779,-96.066092,75.9,224649.63
house,Veracruz de Ignacio de la Llave,23.582632,-93.408846,201.7,194720.68
apartment,Morelos,16.245869,-104.913359,399.0,81911.33
apartment,Nuevo León,16.221236,-91.027095,245.7,96560.17
apartment,Chiapas,19.236102,-99.648264,162.4,180683.4
house,Tabasco,20.886432,-105.997306,127.0,90714.1
apartment,Chiapas,23.704074,-95.777417,172.7,292685.87
apartment,Estado de México,20.459027,-100.476609,74.0,108031.12
apartment,Morelos,25.971245,-104.746208,212.5,220346.83
apartment,Querétaro,20.261813,-89.21323,303.0,115601.0
house,Tabasco,22.936822,-99.674597,126.2,103833.53
house,Yucatán,18.207696,-103.962152,281.6,62906.01
house,Estado de México,22.804993,-100.592134,51.9,132517.43
house,Guerrero,18.732595,-99.733042,320.5,250961.91
house,Estado de México,25.508636,-90.221351,241.9,287744.39
house,Estado de México,17.510579,-88.162557,73.3,247246.28
house,Guerrero,22.385259,-86.718432,313.1,123518.15
house,Guerrero,19.975944,-104.21421,331.1,149441.55
apartment,Distrito Federal,18.742152,-92.259615,231.3,99239.87
house,Querétaro,25.839776,-96.123719,99.1,159351.4
apartment,Guerrero,24.940992,-93.345762,267.2,175416.04
house,Tabasco,16.311341,-102.660938,118.2,67063.7
house,Morelos,22.516668,-91.739079,361.6,196232.8
house,Veracruz de Ignacio de la Llave,20.732099,-90.779244,315.6,210855.17
house,Chiapas,25.681934,-86.984546,259.0,173381.2
apartment,Guerrero,17.855255,-91.94919,278.9,202245.03
apartment,Estado de México,23.765969,-103.892702,252.6,141591.37
house,Chiapas,23.709218,-90.363523,271.3,223686.68
house,Distrito Federal,24.447832,-93.117016,104.8,57147.12
house,Distrito Federal,23.61024,-105.03628,215.9,238106.84
house,Nuevo León,22.262203,-98.798991,300.7,31398.99
apartment,Yucatán,17.312449,-86.864004,144.8,178595.19
house,Guerrero,16.325262,-95.991977,120.8,280856.91
house,Guerrero,25.208478,-97.345417,159.8,139865.01
apartment,Distrito Federal,22.166503,-96.846008,134.5,282458.67
apartment,Yucatán,23.965373,-101.822346,125.2,267167.9
house,Estado de México,17.173082,-98.603735,367.7,83853.11
apartment,Veracruz de Ignacio de la Llave,17.251858,-104.9529,227.5,290256.79
apartment,Distrito Federal,18.005247,-89.556402,293.7,275142.98
house,Veracruz de Ignacio de la Llave,20.915945,-88.99304,184.0,54154.39
apartment,Querétaro,16.642089,-101.760119,337.6,185016.01
apartment,Estado de México,21.819714,-92.85293,280.8,174491.11
apartment,Morelos,18.689934,-96.554364,328.7,225241.77
house,Tabasco,23.975591,-88.396865,145.2,282900.73
house,Chiapas,20.552201,-92.443736,142.4,77267.49
apartment,Querétaro,16.116205,-93.844958,378.7,268206.14
apartment,Nuevo León,16.724469,-100.09397,272.7,77462.95
apartment,Estado de México,19.924936,-103.267982,163.6,278301.4
apartment,Distrito Federal,20.799388,-92.967205,144.3,299236.39
apartment,Tabasco,18.916626,-99.687453,293.1,163753.65
house,Estado de México,22.949819,-93.103348,126.6,282884.36
apartment,Morelos,23.79851,-91.735862,142.6,280030.72
apartment,Querétaro,16.396188,-102.015695,281.7,266720.66
apartment,Yucatán,18.42045,-98.64428,316.3,58971.19
apartment,Guerrero,22.181557,-100.648146,178.9,176691.13
apartment,Estado de México,21.596487,-105.706132,60.9,283411.34
house,Chiapas,16.097708,-98.418119,140.9,259786.13
apartment,Nuevo León,19.264613,-99.253089,61.8,156365.61
apartment,Yucatán,21.177116,-105.613447,357.7,82059.08
apartment,Veracruz de Ignacio de la Llave,16.878665,-103.512632,135.2,60414.63
apartment,Querétaro,19.506269,-97.727147,245.1,73873.45
apartment,Guerrero,16.332031,-96.142708,63.6,153906.91
house,Guerrero,16.785785,-97.914205,283.4,99461.52
house,Querétaro,19.969233,-95.381246,163.1,80273.75
house,Tabasco,17.327158,-94.097367,364.3,228886.83
house,Morelos,21.675408,-105.801524,360.8,243507.27
apartment,Tabasco,22.89465,-96.718097,163.9,183300.93
house,Chiapas,18.001502,-95.619354,398.7,77383.63
apartment,Querétaro,17.045678,-99.762723,345.7,272201.55
apartment,Yucatán,22.364302,-90.520172,137.2,253287.25
house,Querétaro,23.064757,-90.54157,251.8,169125.78
house,Yucatán,16.315861,-95.574079,73.5,53419.2
apartment,Veracruz de Ignacio de la Llave,25.362122,-86.479724,83.2,210699.08
apartment,Chiapas,21.412963,-105.661047,164.3,67965.21
house,Distrito Federal,23.090605,-90.596836,311.9,117372.45
apartment,Querétaro,24.709691,-89.856889,332.3,96972.71
apartment,Distrito Federal,23.140869,-103.595855,350.3,100412.02
apartment,Querétaro,24.017281,-100.688343,399.2,93590.74
apartment,Querétaro,19.394502,-105.648953,134.5,233514.3
apartment,Estado de México,24.148251,-100.133828,64.1,287589.4
apartment,Nuevo León,16.801148,-90.537163,193.9,111525.38
apartment,Querétaro,24.948167,-95.640789,95.5,225178.28
apartment,Chiapas,24.172978,-98.565214,176.1,206494.51
house,Veracruz de Ignacio de la Llave,21.264027,-93.070825,159.5,61920.71
house,Nuevo León,16.8163,-89.058783,131.2,139462.49
apartment,Querétaro,16.603521,-105.528101,55.0,165680.53
house,Morelos,17.595447,-90.336032,268.3,219960.4
house,Distrito Federal,18.19214,-96.840085,63.6,61702.25
apartment,Querétaro,25.758653,-98.039894,343.0,277355.2
apartment,Tabasco,19.368958,-99.941685,266.8,109660.15
apartment,Nuevo León,17.821179,-104.686103,247.2,195948.87
house,Estado de México,22.587078,-101.067927,352.6,66063.57
apartment,Chiapas,20.981957,-96.318459,255.4,71360.1
house,Morelos,21.553636,-91.051112,253.3,231888.41
house,Guerrero,18.284547,-104.843111,314.9,142278.32
house,Tabasco,25.747932,-87.145514,297.6,157123.58
house,Nuevo León,22.503257,-90.296209,186.2,175129.78
apartment,Tabasco,17.995425,-86.173442,130.1,209305.5
house,Tabasco,22.802282,-95.110353,258.9,88971.14
house,Morelos,16.721984,-86.744633,374.9,96815.67
apartment,Chiapas,16.306525,-104.487899,375.2,233779.68
apartment,Guerrero,20.62623,-101.492375,234.7,52104.98
house,Morelos,24.682725,-102.083338,124.1,150621.95
house,Nuevo León,23.271691,-103.183941,398.5,220016.85
apartment,Morelos,19.45935,-94.434032,331.5,46674.67
apartment,Guerrero,19.710388,-103.060746,300.3,177865.3
apartment,Distrito Federal,25.876496,-89.777525,257.6,166481.51
house,Guerrero,16.401092,-93.280906,68.7,184629.45
house,Nuevo León,24.670315,-98.236686,209.2,70460.14
apartment,Guerrero,21.786754,-92.517394,286.2,118591.76
apartment,Veracruz de Ignacio de la Llave,20.386154,-100.8019,287.1,170492.22
